workload,binding,unit,launches,source_ids,op_types,ccnt,tail,evt_active,evt_sram_rd,evt_sram_wr,evt_ext_rd,evt_ext_wr
vww4_128_128_INT8,512_Low,58,1,52,DepthwiseConv2D,3015,0,3014,704,512,637,0
vww4_128_128_INT8,512_Low,59,2,53 54,Conv2D Pad,2015,0,2014,192,384,42,0
vww4_128_128_INT8,512_Low,60,2,54 55,Add Pad,2015,0,2014,654,448,190,0
vww4_128_128_INT8,512_Low,61,1,56,Conv2D,9015,0,9014,1443,1200,1936,0
vww4_128_128_INT8,512_Low,62,1,57,DepthwiseConv2D,6015,0,6014,288,256,461,0
vww4_128_128_INT8,512_Low,63,1,58,Conv2D,15,0,14,0,0,4,0
vww4_128_128_INT8,512_Low,64,1,59,Conv2D,3015,0,3014,16,96,214,0
vww4_128_128_INT8,512_Low,65,1,60,DepthwiseConv2D,3015,0,3014,208,96,150,0
vww4_128_128_INT8,512_Low,66,2,61 62,Add Conv2D,1015,0,1014,16,16,133,0
vww4_128_128_INT8,512_Low,67,1,63,Conv2D,2015,0,2014,96,96,214,0
vww4_128_128_INT8,512_Low,68,1,64,DepthwiseConv2D,3015,0,3014,112,96,347,0
vww4_128_128_INT8,512_Low,69,2,65 66,Conv2D Pad,1015,0,1014,0,48,25,0
vww4_128_128_INT8,512_Low,70,2,66 67,Add Pad,1015,0,1014,96,48,36,0
vww4_128_128_INT8,512_Low,71,1,68,Conv2D,3015,0,3014,96,96,355,0
vww4_128_128_INT8,512_Low,72,1,69,DepthwiseConv2D,2015,0,2014,96,96,291,0
vww4_128_128_INT8,512_Low,73,1,70,Conv2D,1015,0,1014,32,32,77,0
