workload,binding_pair,source_id,op_identity,launches_256,launches_512,sched_joined_256,sched_joined_512
vww4_128_128_INT8,B-frozen,60,DepthwiseConv2D|4x4x96|1x1|59,1,1,1,1
vww4_128_128_INT8,B-frozen,61,Conv2D|4x4x16|1x1|60,1,1,1,1
vww4_128_128_INT8,B-frozen,62,Add|4x4x16|1x1|61,1,1,0,0
vww4_128_128_INT8,B-frozen,63,Conv2D|4x4x96|1x1|62,1,1,1,1
vww4_128_128_INT8,B-frozen,64,DepthwiseConv2D|4x4x96|1x1|63,1,1,1,1
vww4_128_128_INT8,B-frozen,65,Conv2D|4x4x32|1x1|64,1,1,1,1
vww4_128_128_INT8,B-frozen,66,Pad|4x4x32|1x1|65,2,2,0,0
vww4_128_128_INT8,B-frozen,67,Add|4x4x32|1x1|66,1,1,1,1
vww4_128_128_INT8,B-frozen,68,Conv2D|4x4x96|1x1|67,1,1,1,1
vww4_128_128_INT8,B-frozen,69,DepthwiseConv2D|4x4x96|1x1|68,1,1,1,1
vww4_128_128_INT8,B-frozen,70,Conv2D|4x4x32|1x1|69,1,1,1,1
vww4_128_128_INT8,B-frozen,71,Conv2D|4x4x128|1x1|70,1,1,1,1
vww4_128_128_INT8,B-frozen,72,AvgPool|1x1x128|1x1|71,1,1,1,1
vww4_128_128_INT8,B-frozen,73,Conv2D|1x1x2|1x1|72,1,1,1,1
vww4_128_128_INT8,B-held,1,Conv2D|64x64x8|1x1|0,1,1,1,1
vww4_128_128_INT8,B-held,2,Conv2D|64x64x4|1x1|1,2,2,1,1
vww4_128_128_INT8,B-held,3,DepthwiseConv2D|64x64x4|1x1|2,2,2,1,1
vww4_128_128_INT8,B-held,4,Conv2D|64x64x4|1x1|3,1,1,1,1
vww4_128_128_INT8,B-held,5,Conv2D|64x64x8|1x1|4,1,1,1,1
vww4_128_128_INT8,B-held,6,DepthwiseConv2D|32x32x8|1x1|5,1,1,1,1
vww4_128_128_INT8,B-held,7,Conv2D|32x32x12|1x1|6,1,1,1,1
vww4_128_128_INT8,B-held,8,Conv2D|32x32x14|1x1|7,1,1,1,1
vww4_128_128_INT8,B-held,9,DepthwiseConv2D|32x32x14|1x1|8,1,1,1,1
vww4_128_128_INT8,B-held,10,Conv2D|32x32x16|1x1|9,1,1,1,1
vww4_128_128_INT8,B-held,11,Pad|32x32x16|1x1|10,2,2,0,0
vww4_128_128_INT8,B-held,12,Add|32x32x16|1x1|11,1,1,1,1
vww4_128_128_INT8,B-held,13,Conv2D|32x32x28|1x1|12,1,1,1,1
vww4_128_128_INT8,B-held,14,DepthwiseConv2D|16x16x28|1x1|13,1,1,1,1
vww4_128_128_INT8,B-held,15,Conv2D|16x16x32|1x1|14,1,1,1,1
vww4_128_128_INT8,B-held,16,Conv2D|16x16x96|1x1|15,1,1,1,1
vww4_128_128_INT8,B-held,17,DepthwiseConv2D|16x16x96|1x1|16,1,1,1,1
vww4_128_128_INT8,B-held,18,Conv2D|16x16x28|1x1|17,1,1,1,1
vww4_128_128_INT8,B-held,19,Pad|16x16x32|1x1|18,2,2,0,0
vww4_128_128_INT8,B-held,20,Add|16x16x32|1x1|19,1,1,1,1
vww4_128_128_INT8,B-held,21,Conv2D|16x16x96|1x1|20,2,2,1,1
vww4_128_128_INT8,B-held,22,DepthwiseConv2D|16x16x96|1x1|21,1,1,1,1
vww4_128_128_INT8,B-held,23,Conv2D|16x16x28|1x1|22,1,1,1,1
vww4_128_128_INT8,B-held,24,Pad|16x16x32|1x1|23,2,2,0,0
vww4_128_128_INT8,B-held,25,Add|16x16x32|1x1|24,1,1,1,1
vww4_128_128_INT8,B-held,26,Conv2D|16x16x152|1x1|25,2,2,1,1
vww4_128_128_INT8,B-held,27,DepthwiseConv2D|8x8x152|1x1|26,1,1,1,1
vww4_128_128_INT8,B-held,28,Conv2D|8x8x44|1x1|27,1,1,1,1
vww4_128_128_INT8,B-held,29,Conv2D|8x8x268|1x1|28,1,1,1,1
vww4_128_128_INT8,B-held,30,DepthwiseConv2D|8x8x268|1x1|29,1,1,1,1
vww4_128_128_INT8,B-held,31,Conv2D|8x8x40|1x1|30,1,1,1,1
vww4_128_128_INT8,B-held,32,Pad|8x8x44|1x1|31,2,2,0,0
vww4_128_128_INT8,B-held,33,Add|8x8x44|1x1|32,1,1,1,1
vww4_128_128_INT8,B-held,34,Conv2D|8x8x268|1x1|33,1,1,1,1
vww4_128_128_INT8,B-held,35,DepthwiseConv2D|8x8x268|1x1|34,1,1,1,1
vww4_128_128_INT8,B-held,36,Conv2D|8x8x52|1x1|35,1,1,1,1
vww4_128_128_INT8,B-held,37,Pad|8x8x52|1x1|36,2,2,0,0
vww4_128_128_INT8,B-held,38,Add|8x8x52|1x1|37,1,1,1,1
vww4_128_128_INT8,B-held,39,Conv2D|8x8x268|1x1|38,1,1,1,1
vww4_128_128_INT8,B-held,40,DepthwiseConv2D|8x8x268|1x1|39,1,1,1,1
vww4_128_128_INT8,B-held,41,Conv2D|8x8x44|1x1|40,1,1,1,1
vww4_128_128_INT8,B-held,42,Pad|8x8x52|1x1|41,2,2,0,0
vww4_128_128_INT8,B-held,43,Add|8x8x52|1x1|42,1,1,1,1
vww4_128_128_INT8,B-held,44,Conv2D|8x8x192|1x1|43,1,1,1,1
vww4_128_128_INT8,B-held,45,DepthwiseConv2D|8x8x192|1x1|44,1,1,1,1
vww4_128_128_INT8,B-held,46,Conv2D|8x8x68|1x1|45,1,1,1,1
vww4_128_128_INT8,B-held,47,Conv2D|8x8x172|1x1|46,1,1,1,1
vww4_128_128_INT8,B-held,48,DepthwiseConv2D|8x8x172|1x1|47,1,1,1,1
vww4_128_128_INT8,B-held,49,Conv2D|8x8x68|1x1|48,1,1,1,1
vww4_128_128_INT8,B-held,50,Add|8x8x68|1x1|49,1,1,0,0
vww4_128_128_INT8,B-held,51,Conv2D|8x8x172|1x1|50,1,1,1,1
vww4_128_128_INT8,B-held,52,DepthwiseConv2D|8x8x172|1x1|51,1,1,1,1
vww4_128_128_INT8,B-held,53,Conv2D|8x8x48|1x1|52,1,1,1,1
vww4_128_128_INT8,B-held,54,Pad|8x8x68|1x1|53,2,2,0,0
vww4_128_128_INT8,B-held,55,Add|8x8x68|1x1|54,1,1,1,1
vww4_128_128_INT8,B-held,56,Conv2D|8x8x288|1x1|55,1,1,1,1
vww4_128_128_INT8,B-held,57,DepthwiseConv2D|4x4x288|1x1|56,1,1,1,1
vww4_128_128_INT8,B-held,58,Conv2D|4x4x16|1x1|57,1,1,1,1
vww4_128_128_INT8,B-held,59,Conv2D|4x4x96|1x1|58,1,1,1,1
vww4_128_128_INT8,B-held,60,DepthwiseConv2D|4x4x96|1x1|59,1,1,1,1
vww4_128_128_INT8,B-held,61,Conv2D|4x4x16|1x1|60,1,1,1,1
vww4_128_128_INT8,B-held,62,Add|4x4x16|1x1|61,1,1,0,0
vww4_128_128_INT8,B-held,63,Conv2D|4x4x96|1x1|62,1,1,1,1
vww4_128_128_INT8,B-held,64,DepthwiseConv2D|4x4x96|1x1|63,1,1,1,1
vww4_128_128_INT8,B-held,65,Conv2D|4x4x32|1x1|64,1,1,1,1
vww4_128_128_INT8,B-held,66,Pad|4x4x32|1x1|65,2,2,0,0
vww4_128_128_INT8,B-held,67,Add|4x4x32|1x1|66,1,1,1,1
vww4_128_128_INT8,B-held,68,Conv2D|4x4x96|1x1|67,1,1,1,1
vww4_128_128_INT8,B-held,69,DepthwiseConv2D|4x4x96|1x1|68,1,1,1,1
vww4_128_128_INT8,B-held,70,Conv2D|4x4x32|1x1|69,1,1,1,1
vww4_128_128_INT8,B-held,71,Conv2D|4x4x128|1x1|70,1,1,1,1
vww4_128_128_INT8,B-held,72,AvgPool|1x1x128|1x1|71,1,1,1,1
vww4_128_128_INT8,B-held,73,Conv2D|1x1x2|1x1|72,1,1,1,1
yolo-fastest_192_face_v4,B-frozen,2,Conv2D|96x96x8|1x1|1,1,1,1,1
yolo-fastest_192_face_v4,B-frozen,3,Conv2D|96x96x8|1x1|2,1,1,1,1
yolo-fastest_192_face_v4,B-frozen,4,DepthwiseConv2D|96x96x8|1x1|3,1,1,1,1
yolo-fastest_192_face_v4,B-frozen,5,Conv2D|96x96x4|1x1|4,1,1,1,1
yolo-fastest_192_face_v4,B-frozen,6,Conv2D|96x96x8|1x1|5,1,1,1,1
yolo-fastest_192_face_v4,B-frozen,7,DepthwiseConv2D|96x96x8|1x1|6,1,1,1,1
yolo-fastest_192_face_v4,B-frozen,8,Conv2D|96x96x4|1x1|7,1,1,1,1
