seq,cell_id,workload,platform,npu,mac_config,memory_mode,timing_adapter,M1_eq_M2_eq_M3,canonical_cycles,npu_active_cycles,npu_idle_cycles,axi0_rd_beats,axi0_wr_beats,axi1_rd_beats,model_sha256,vela_sha256,axf_sha256
41,kws_micronet_m__SSE-320__ethos-u85-128,kws_micronet_m,SSE-320,ethos-u85,128,Dedicated_Sram,ON,True,369068,368696,372,,,,c1feed3af5dac44de7477fb4161670ba18a3fc06039e4a14da41b1c4dd454cb4,0cbdc135d3bb3cc66312b3fb94621c0b4f79c7f36f51bfa1d74ade5131a79df9,08c5ab599af2c780986bd22bee9bded042484ff0461f0f0e7d1fb409604036f5
42,ad_medium_int8__SSE-320__ethos-u85-128,ad_medium_int8,SSE-320,ethos-u85,128,Dedicated_Sram,ON,True,731068,730426,642,,,,a8b1c9037c2a80e6ff770f0a550777cf744a52850bed6545b2bfc9bacf604c98,ab971c1f460ada733129085b61b08292352ba1946f87b7e8507a4052c2df6c20,baa7f6007b2f0c821d96684739a1ec0d8f54897dac70150d93bad69f6900c085
43,vww4_128_128_INT8__SSE-320__ethos-u85-128,vww4_128_128_INT8,SSE-320,ethos-u85,128,Dedicated_Sram,ON,True,511068,510010,1058,,,,5e76364e80c45776b735563679d45f611cab7ce7fef2ec4e2db088afe009ccae,d18367b2706f51b23e37d71e16ed30a7d1b248ae017766d505736ee1ceac87be,1478f04e20fcd343fa21f9c0672f43dcfa5febdf25d7da8f0b4aaa4dd3e4a331
44,yolo-fastest_192_face_v4__SSE-320__ethos-u85-128,yolo-fastest_192_face_v4,SSE-320,ethos-u85,128,Dedicated_Sram,ON,True,1527074,1526850,224,,,,e94bcdb011784bead70ab0c0e9d2dae1a9ea5f103b43e1e6fac3019302cf71ab,647d7e53d4eeaa7fd776830e838b0f66f4ab80f6601ae91b536175dc0a056ad1,b71179c5c75e7f16e289b8bb815d539c22fad26345982fcedfb0a67ce5a717eb
45,mobilenet_v2_1.0_224_INT8__SSE-320__ethos-u85-128,mobilenet_v2_1.0_224_INT8,SSE-320,ethos-u85,128,Dedicated_Sram,ON,True,5079068,5078222,846,,,,bd8d56b80557a5fca7acf14f61e5339285c02810f7d7afa714b9763fc4b86e95,a414a3eae6969abd57a279690d1c6d5c6f782eef1f8172084df6edb067a5df2e,15eb0e39f72be777c622773c71e8c8985f0616a199a4abf42780a35ef3c23c74
46,wav2letter_pruned_int8__SSE-320__ethos-u85-128,wav2letter_pruned_int8,SSE-320,ethos-u85,128,Dedicated_Sram,ON,True,28674068,28673038,1030,,,,e0814a0e586f2f2881f7fe96e6bc0b8e4cfecc8d64ced56d8f7ca85b9b7ab257,c9b0a55854a53ebdf70cf2266f57a90140e428deb3c36ecf7d4887629c4ca34f,2f99f4fa17175484fbcf91db4c06c6c1fb83857a56af3d71c1673fcb0b628a98
47,rnnoise_INT8__SSE-320__ethos-u85-256,rnnoise_INT8,SSE-320,ethos-u85,256,Dedicated_Sram,ON,True,36086,35206,880,,,,9c582545b7c13af44616c44b654f4fe721aa2585630b0ca173ca3589f6f11c2c,8f342f545a9a9e1da4493fa2f73ff5779785fa5a0c7f6bfac2096153f1b2116e,26f7bc0c367d1da4d8fa519d5af0cfdc52a98b22a4deeb24e3ceb23fee0e135d
48,kws_micronet_m__SSE-320__ethos-u85-256,kws_micronet_m,SSE-320,ethos-u85,256,Dedicated_Sram,ON,True,199068,198564,504,,,,c1feed3af5dac44de7477fb4161670ba18a3fc06039e4a14da41b1c4dd454cb4,7d1431a8bc9cd5ec3735e9c1f8c91cd8d1e4496286147ee5a1adec1acd72ce92,4fc1193fec444d6a3a00aee219f8420b1716962aa7240031699a568d888cab08
49,ad_medium_int8__SSE-320__ethos-u85-256,ad_medium_int8,SSE-320,ethos-u85,256,Dedicated_Sram,ON,True,377068,376021,1047,,,,a8b1c9037c2a80e6ff770f0a550777cf744a52850bed6545b2bfc9bacf604c98,ceb93f0095600c90b42763683fabc07397f7a2d1386493caa625cecd7c86abaa,3bbb58c709a25daabbf76c915f3447b2aaa92158db63a99085d51abb4ed2ff03
50,vww4_128_128_INT8__SSE-320__ethos-u85-256,vww4_128_128_INT8,SSE-320,ethos-u85,256,Dedicated_Sram,ON,True,287068,286067,1001,,,,5e76364e80c45776b735563679d45f611cab7ce7fef2ec4e2db088afe009ccae,869a0c6b8e7dd5339829bfd9430abfb9afe20401a17d31c437e2a193fd6afc8e,23b87ac7a8bc4e3a861077ba1f75ebb7d7f2bd8a007a42d96e3040d5a46bb63f
51,yolo-fastest_192_face_v4__SSE-320__ethos-u85-256,yolo-fastest_192_face_v4,SSE-320,ethos-u85,256,Dedicated_Sram,ON,True,812074,811264,810,,,,e94bcdb011784bead70ab0c0e9d2dae1a9ea5f103b43e1e6fac3019302cf71ab,aec60a683ca0dfd54e791bf0fec34f999cf472bbf7a16c4f2e6adb09fddab53e,8e53bdc43bf7f34758b7b418c325b3dc36e2b55ad69ce2d5798ab9e84023c76e
52,mobilenet_v2_1.0_224_INT8__SSE-320__ethos-u85-256,mobilenet_v2_1.0_224_INT8,SSE-320,ethos-u85,256,Dedicated_Sram,ON,True,2874068,2873773,295,,,,bd8d56b80557a5fca7acf14f61e5339285c02810f7d7afa714b9763fc4b86e95,0c7038277d83a302238d4926e42b5c281a83dd4891a27d804d58b57873bbced5,88f0b943bfdeb9b68a93b340120757cb6e5955cdf1b982ddbb94d268d8ec5b49
53,wav2letter_pruned_int8__SSE-320__ethos-u85-256,wav2letter_pruned_int8,SSE-320,ethos-u85,256,Dedicated_Sram,ON,True,15147068,15146719,349,,,,e0814a0e586f2f2881f7fe96e6bc0b8e4cfecc8d64ced56d8f7ca85b9b7ab257,47da44440a8886649f8bdd2cd34adb1f9deca6d11f7bdfde602cd097055e06a2,da922e22d0b866e1b795e55757d72b554d6cd1dfbd8291a2e89353c9be134e94
54,rnnoise_INT8__SSE-320__ethos-u85-512,rnnoise_INT8,SSE-320,ethos-u85,512,Dedicated_Sram,ON,True,55086,54330,756,,,,9c582545b7c13af44616c44b654f4fe721aa2585630b0ca173ca3589f6f11c2c,12087f72b6dce2e03b1146f11dcd5e1c254f1ed6f737bc5df22c8ab0dbdf335c,a840819ba13cdf141080eea12c70389ca3856fa91cfce15bd9556604602624c5
55,kws_micronet_m__SSE-320__ethos-u85-512,kws_micronet_m,SSE-320,ethos-u85,512,Dedicated_Sram,ON,True,114068,113986,82,,,,c1feed3af5dac44de7477fb4161670ba18a3fc06039e4a14da41b1c4dd454cb4,af461b1ee988ee39f778a962366042bb0f63e1c1f2a5dd47b231800847bcd3a0,206fad844254ef9579ad3ca4526545726185ecf0e0938d30d1162d2052cc7b11
56,ad_medium_int8__SSE-320__ethos-u85-512,ad_medium_int8,SSE-320,ethos-u85,512,Dedicated_Sram,ON,True,235068,234552,516,,,,a8b1c9037c2a80e6ff770f0a550777cf744a52850bed6545b2bfc9bacf604c98,9fa6d6e7239b70d027301eea62d6123e88e67f800d93038a67af5cf789834a99,764f0693656a4b661be0ff46f3f793a856b0b404a3fdbd072fc5845e4285fe44
57,vww4_128_128_INT8__SSE-320__ethos-u85-512,vww4_128_128_INT8,SSE-320,ethos-u85,512,Dedicated_Sram,ON,True,259068,258022,1046,,,,5e76364e80c45776b735563679d45f611cab7ce7fef2ec4e2db088afe009ccae,e3c387fd064ce4f22d3f4a2ca4002fe15cb72ce892ca77c884d7913c29b00350,c16e67765cb67bb712ec2e475730361ac7ad2577f4115579ddf78c8bfbb947c8
58,yolo-fastest_192_face_v4__SSE-320__ethos-u85-512,yolo-fastest_192_face_v4,SSE-320,ethos-u85,512,Dedicated_Sram,ON,True,587074,586275,799,,,,e94bcdb011784bead70ab0c0e9d2dae1a9ea5f103b43e1e6fac3019302cf71ab,8b2f4e1e0fca98e2adcf3ab9db295127c87746cfd134f37eb5cbb1d8b47b847a,2ce167bb255efc0668268917a16e9228510b5eaaff209dd09c7ed44a86639777
59,mobilenet_v2_1.0_224_INT8__SSE-320__ethos-u85-512,mobilenet_v2_1.0_224_INT8,SSE-320,ethos-u85,512,Dedicated_Sram,ON,True,1914068,1913404,664,,,,bd8d56b80557a5fca7acf14f61e5339285c02810f7d7afa714b9763fc4b86e95,38823b6d0f0d9cfb1895c24afa8103cdfd0ebacafe52b8b8af24af82f71f1b36,404b2a6ccebd9f907d79f19664edc8736949386da5cf9c800e7fd7c3a59c9b2b
60,wav2letter_pruned_int8__SSE-320__ethos-u85-512,wav2letter_pruned_int8,SSE-320,ethos-u85,512,Dedicated_Sram,ON,True,7654068,7653598,470,,,,e0814a0e586f2f2881f7fe96e6bc0b8e4cfecc8d64ced56d8f7ca85b9b7ab257,9ec8352bd7624498de819db29114964aee319dad249e8276baa01845c7de337b,a5bc45d266a6a1851ecb84b2939b09014d45faa1093997df8519aecdad9a17eb
61,rnnoise_INT8__SSE-320__ethos-u85-1024,rnnoise_INT8,SSE-320,ethos-u85,1024,Dedicated_Sram,ON,True,49086,48560,526,,,,9c582545b7c13af44616c44b654f4fe721aa2585630b0ca173ca3589f6f11c2c,5bc1ee088fd731dbb9fed4a0d8ddcea92c11600e82b5041371149465510bee79,845288d51544780728447c67b5b8a3dbd59f58ec9d77b5bff8905e41d2a5bec0
62,kws_micronet_m__SSE-320__ethos-u85-1024,kws_micronet_m,SSE-320,ethos-u85,1024,Dedicated_Sram,ON,True,90068,89138,930,,,,c1feed3af5dac44de7477fb4161670ba18a3fc06039e4a14da41b1c4dd454cb4,f9575c36651efe0dc3798135f4bc8f9e3fd3614a75f7ad16377994616d18a069,f4d4e0604b097394892fe03edc54c9af734fd312e9f84bb210597bb9daea000a
