workload,npu,mac,source_model_sha256,memory_mode,system_config,platform_A,platform_B,vela_artifact_sha256_A,vela_artifact_sha256_B,vela_artifact_identity,host_firmware_identity,per_platform_executability,cross_platform_same_artifact_portability,reuse_class
rnnoise_INT8,ethos-u55,256,9c582545b7c13af44616c44b654f4fe721aa2585630b0ca173ca3589f6f11c2c,Shared_Sram,Ethos_U55_High_End_Embedded,SSE-300,SSE-310,2fdebe4cbda30f7d2b94668673cf70bdf11b6a745f5970285524c6a0593b4221,2fdebe4cbda30f7d2b94668673cf70bdf11b6a745f5970285524c6a0593b4221,IDENTICAL,PLATFORM_SPECIFIC,EXECUTABLE/EXECUTABLE,ESTABLISHED,FIRMWARE_PLATFORM_SPECIFIC_BUT_NPU_ARTIFACT_IDENTICAL
rnnoise_INT8,ethos-u55,32,9c582545b7c13af44616c44b654f4fe721aa2585630b0ca173ca3589f6f11c2c,Shared_Sram,Ethos_U55_High_End_Embedded,SSE-300,SSE-310,7728c11b4b5b33029d10648d85d754895bffe713b93048fd7d2ed4a67f8e7611,7728c11b4b5b33029d10648d85d754895bffe713b93048fd7d2ed4a67f8e7611,IDENTICAL,PLATFORM_SPECIFIC,EXECUTABLE/EXECUTABLE,ESTABLISHED,FIRMWARE_PLATFORM_SPECIFIC_BUT_NPU_ARTIFACT_IDENTICAL
rnnoise_INT8,ethos-u55,64,9c582545b7c13af44616c44b654f4fe721aa2585630b0ca173ca3589f6f11c2c,Shared_Sram,Ethos_U55_High_End_Embedded,SSE-300,SSE-310,f860de6f270569d437147e4842c5068cc4819bd88b347100eda514a8c29edcb3,f860de6f270569d437147e4842c5068cc4819bd88b347100eda514a8c29edcb3,IDENTICAL,PLATFORM_SPECIFIC,EXECUTABLE/EXECUTABLE,ESTABLISHED,FIRMWARE_PLATFORM_SPECIFIC_BUT_NPU_ARTIFACT_IDENTICAL
rnnoise_INT8,ethos-u65,256,9c582545b7c13af44616c44b654f4fe721aa2585630b0ca173ca3589f6f11c2c,Dedicated_Sram,Ethos_U65_High_End,SSE-300,SSE-310,adbda150d7ef0c99ce65f699bb0dbc818fa50b6ea073c0386c472187a3af1b33,adbda150d7ef0c99ce65f699bb0dbc818fa50b6ea073c0386c472187a3af1b33,IDENTICAL,PLATFORM_SPECIFIC,EXECUTABLE/EXECUTABLE,ESTABLISHED,FIRMWARE_PLATFORM_SPECIFIC_BUT_NPU_ARTIFACT_IDENTICAL
rnnoise_INT8,ethos-u65,256,9c582545b7c13af44616c44b654f4fe721aa2585630b0ca173ca3589f6f11c2c,Dedicated_Sram,Ethos_U65_High_End,SSE-300,SSE-315,adbda150d7ef0c99ce65f699bb0dbc818fa50b6ea073c0386c472187a3af1b33,adbda150d7ef0c99ce65f699bb0dbc818fa50b6ea073c0386c472187a3af1b33,IDENTICAL,PLATFORM_SPECIFIC,EXECUTABLE/EXECUTABLE,ESTABLISHED,FIRMWARE_PLATFORM_SPECIFIC_BUT_NPU_ARTIFACT_IDENTICAL
rnnoise_INT8,ethos-u65,256,9c582545b7c13af44616c44b654f4fe721aa2585630b0ca173ca3589f6f11c2c,Dedicated_Sram,Ethos_U65_High_End,SSE-310,SSE-315,adbda150d7ef0c99ce65f699bb0dbc818fa50b6ea073c0386c472187a3af1b33,adbda150d7ef0c99ce65f699bb0dbc818fa50b6ea073c0386c472187a3af1b33,IDENTICAL,PLATFORM_SPECIFIC,EXECUTABLE/EXECUTABLE,ESTABLISHED,FIRMWARE_PLATFORM_SPECIFIC_BUT_NPU_ARTIFACT_IDENTICAL
rnnoise_INT8,ethos-u65,512,9c582545b7c13af44616c44b654f4fe721aa2585630b0ca173ca3589f6f11c2c,Dedicated_Sram,Ethos_U65_High_End,SSE-300,SSE-310,13c2f7daab192e34784b571eb97cea752005b3969cda1135dd637fd73306cbb7,13c2f7daab192e34784b571eb97cea752005b3969cda1135dd637fd73306cbb7,IDENTICAL,PLATFORM_SPECIFIC,EXECUTABLE/EXECUTABLE,ESTABLISHED,FIRMWARE_PLATFORM_SPECIFIC_BUT_NPU_ARTIFACT_IDENTICAL
rnnoise_INT8,ethos-u65,512,9c582545b7c13af44616c44b654f4fe721aa2585630b0ca173ca3589f6f11c2c,Dedicated_Sram,Ethos_U65_High_End,SSE-300,SSE-315,13c2f7daab192e34784b571eb97cea752005b3969cda1135dd637fd73306cbb7,13c2f7daab192e34784b571eb97cea752005b3969cda1135dd637fd73306cbb7,IDENTICAL,PLATFORM_SPECIFIC,EXECUTABLE/EXECUTABLE,ESTABLISHED,FIRMWARE_PLATFORM_SPECIFIC_BUT_NPU_ARTIFACT_IDENTICAL
rnnoise_INT8,ethos-u65,512,9c582545b7c13af44616c44b654f4fe721aa2585630b0ca173ca3589f6f11c2c,Dedicated_Sram,Ethos_U65_High_End,SSE-310,SSE-315,13c2f7daab192e34784b571eb97cea752005b3969cda1135dd637fd73306cbb7,13c2f7daab192e34784b571eb97cea752005b3969cda1135dd637fd73306cbb7,IDENTICAL,PLATFORM_SPECIFIC,EXECUTABLE/EXECUTABLE,ESTABLISHED,FIRMWARE_PLATFORM_SPECIFIC_BUT_NPU_ARTIFACT_IDENTICAL
vww4_128_128_INT8,ethos-u55,128,5e76364e80c45776b735563679d45f611cab7ce7fef2ec4e2db088afe009ccae,Shared_Sram,Ethos_U55_High_End_Embedded,SSE-300,SSE-310,dcbd0bd07fe6b391e4ccab5575b09a0dcbf927d40e4962b4f311451ba5eb7614,dcbd0bd07fe6b391e4ccab5575b09a0dcbf927d40e4962b4f311451ba5eb7614,IDENTICAL,PLATFORM_SPECIFIC,EXECUTABLE/EXECUTABLE,ESTABLISHED,FIRMWARE_PLATFORM_SPECIFIC_BUT_NPU_ARTIFACT_IDENTICAL
